"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1373","unSuccessUpdatePutUser()","","2026-07-24","failed","2026-07-24","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
"","191","unSuccessRegisterUser()","","2026-07-24","failed","2026-07-24","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
"","279","successGetUser(String) [1] 1","","2026-07-24","failed","2026-07-24","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
"","166","unSuccessDeleteUser(String) [1] asdasd","","2026-07-24","failed","2026-07-24","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
"","178","successRegisterUser()","","2026-07-24","failed","2026-07-24","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
"","178","successUpdatePutUser()","","2026-07-24","failed","2026-07-24","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
"","2504","unSuccessGetUser(String) [1] 13","","2026-07-24","failed","2026-07-24","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
"","344","successDeleteUser(String) [1] 2","","2026-07-24","failed","2026-07-24","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
