"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","316","successDeleteUser(String) [1] 2","","Wed Jul 09 20:29:30 GMT 2025","failed","Wed Jul 09 20:29:30 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
"","453","unSuccessDeleteUser(String) [1] asdasd","","Wed Jul 09 20:29:33 GMT 2025","failed","Wed Jul 09 20:29:33 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
"","358","unSuccessRegisterUser()","","Wed Jul 09 20:29:32 GMT 2025","failed","Wed Jul 09 20:29:32 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
"","884","successGetUser(String) [1] 1","","Wed Jul 09 20:29:32 GMT 2025","passed","Wed Jul 09 20:29:33 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
"","1380","unSuccessUpdatePutUser()","","Wed Jul 09 20:29:30 GMT 2025","failed","Wed Jul 09 20:29:31 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
"","344","successRegisterUser()","","Wed Jul 09 20:29:33 GMT 2025","failed","Wed Jul 09 20:29:34 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
"","2273","unSuccessGetUser(String) [1] 13","","Wed Jul 09 20:29:27 GMT 2025","failed","Wed Jul 09 20:29:29 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
"","355","successUpdatePutUser()","","Wed Jul 09 20:29:31 GMT 2025","failed","Wed Jul 09 20:29:32 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
