"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","93","unSuccessRegisterUser()","","Wed Dec 10 20:33:09 UTC 2025","failed","Wed Dec 10 20:33:09 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
"","73","successUpdatePutUser()","","Wed Dec 10 20:33:09 UTC 2025","failed","Wed Dec 10 20:33:09 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
"","60","unSuccessDeleteUser(String) [1] asdasd","","Wed Dec 10 20:33:09 UTC 2025","failed","Wed Dec 10 20:33:09 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
"","72","successDeleteUser(String) [1] 2","","Wed Dec 10 20:33:07 UTC 2025","failed","Wed Dec 10 20:33:07 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
"","72","successRegisterUser()","","Wed Dec 10 20:33:09 UTC 2025","failed","Wed Dec 10 20:33:09 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
"","50","successGetUser(String) [1] 1","","Wed Dec 10 20:33:09 UTC 2025","failed","Wed Dec 10 20:33:09 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
"","1131","unSuccessUpdatePutUser()","","Wed Dec 10 20:33:07 UTC 2025","failed","Wed Dec 10 20:33:09 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
"","2355","unSuccessGetUser(String) [1] 13","","Wed Dec 10 20:33:05 UTC 2025","failed","Wed Dec 10 20:33:07 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
