"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","153","successDeleteUser(String) [1] 2","","Thu Aug 07 20:31:44 GMT 2025","failed","Thu Aug 07 20:31:44 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
"","160","successRegisterUser()","","Thu Aug 07 20:31:47 GMT 2025","failed","Thu Aug 07 20:31:47 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
"","160","unSuccessRegisterUser()","","Thu Aug 07 20:31:46 GMT 2025","failed","Thu Aug 07 20:31:46 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
"","229","successUpdatePutUser()","","Thu Aug 07 20:31:46 GMT 2025","failed","Thu Aug 07 20:31:46 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
"","2851","unSuccessGetUser(String) [1] 13","","Thu Aug 07 20:31:41 GMT 2025","failed","Thu Aug 07 20:31:44 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
"","215","unSuccessDeleteUser(String) [1] asdasd","","Thu Aug 07 20:31:47 GMT 2025","failed","Thu Aug 07 20:31:47 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
"","1384","unSuccessUpdatePutUser()","","Thu Aug 07 20:31:44 GMT 2025","failed","Thu Aug 07 20:31:46 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
"","908","successGetUser(String) [1] 1","","Thu Aug 07 20:31:46 GMT 2025","passed","Thu Aug 07 20:31:47 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
