"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","356","successRegisterUser()","","Tue May 20 20:28:43 GMT 2025","failed","Tue May 20 20:28:43 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
"","354","unSuccessDeleteUser(String) [1] asdasd","","Tue May 20 20:28:43 GMT 2025","failed","Tue May 20 20:28:43 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
"","358","successDeleteUser(String) [1] 2","","Tue May 20 20:28:40 GMT 2025","failed","Tue May 20 20:28:40 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
"","387","successUpdatePutUser()","","Tue May 20 20:28:41 GMT 2025","failed","Tue May 20 20:28:42 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
"","2298","unSuccessGetUser(String) [1] 13","","Tue May 20 20:28:37 GMT 2025","failed","Tue May 20 20:28:40 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
"","356","successGetUser(String) [1] 1","","Tue May 20 20:28:42 GMT 2025","failed","Tue May 20 20:28:43 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
"","358","unSuccessRegisterUser()","","Tue May 20 20:28:42 GMT 2025","failed","Tue May 20 20:28:42 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
"","1444","unSuccessUpdatePutUser()","","Tue May 20 20:28:40 GMT 2025","failed","Tue May 20 20:28:41 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
