"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","307","successDeleteUser(String) [1] 2","","2026-08-29","passed","2026-08-29","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
"","411","successRegisterUser()","","2026-08-29","passed","2026-08-29","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
"","198","unSuccessDeleteUser(String) [1] asdasd","","2026-08-29","failed","2026-08-29","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
"","2807","unSuccessGetUser(String) [1] 13","","2026-08-29","passed","2026-08-29","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
"","212","unSuccessRegisterUser()","","2026-08-29","passed","2026-08-29","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
"","186","successUpdatePutUser()","","2026-08-29","passed","2026-08-29","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
"","200","successGetUser(String) [1] 1","","2026-08-29","passed","2026-08-29","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
"","1289","unSuccessUpdatePutUser()","","2026-08-29","failed","2026-08-29","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
