"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","197","unSuccessRegisterUser()","","Sat May 10 20:25:02 GMT 2025","failed","Sat May 10 20:25:02 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
"","2282","unSuccessGetUser(String) [1] 13","","Sat May 10 20:24:57 GMT 2025","failed","Sat May 10 20:25:00 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
"","200","successDeleteUser(String) [1] 2","","Sat May 10 20:25:00 GMT 2025","failed","Sat May 10 20:25:00 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
"","1304","unSuccessUpdatePutUser()","","Sat May 10 20:25:00 GMT 2025","failed","Sat May 10 20:25:01 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
"","186","successRegisterUser()","","Sat May 10 20:25:02 GMT 2025","failed","Sat May 10 20:25:02 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
"","192","successUpdatePutUser()","","Sat May 10 20:25:01 GMT 2025","failed","Sat May 10 20:25:02 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
"","194","successGetUser(String) [1] 1","","Sat May 10 20:25:02 GMT 2025","failed","Sat May 10 20:25:02 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
"","199","unSuccessDeleteUser(String) [1] asdasd","","Sat May 10 20:25:02 GMT 2025","failed","Sat May 10 20:25:02 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
