"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1125","unSuccessUpdatePutUser()","","Thu Aug 14 20:30:00 UTC 2025","failed","Thu Aug 14 20:30:01 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
"","832","successGetUser(String) [1] 1","","Thu Aug 14 20:30:02 UTC 2025","passed","Thu Aug 14 20:30:03 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
"","496","unSuccessDeleteUser(String) [1] asdasd","","Thu Aug 14 20:30:03 UTC 2025","failed","Thu Aug 14 20:30:04 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
"","515","successRegisterUser()","","Thu Aug 14 20:30:04 UTC 2025","failed","Thu Aug 14 20:30:04 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
"","380","successDeleteUser(String) [1] 2","","Thu Aug 14 20:30:00 UTC 2025","failed","Thu Aug 14 20:30:00 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
"","483","successUpdatePutUser()","","Thu Aug 14 20:30:01 UTC 2025","failed","Thu Aug 14 20:30:02 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
"","2574","unSuccessGetUser(String) [1] 13","","Thu Aug 14 20:29:57 UTC 2025","failed","Thu Aug 14 20:30:00 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
"","504","unSuccessRegisterUser()","","Thu Aug 14 20:30:02 UTC 2025","failed","Thu Aug 14 20:30:02 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
