"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","166","successUpdatePutUser()","","Thu May 07 21:10:53 UTC 2026","failed","Thu May 07 21:10:53 UTC 2026","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
"","261","unSuccessRegisterUser()","","Thu May 07 21:10:53 UTC 2026","failed","Thu May 07 21:10:54 UTC 2026","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
"","1113","unSuccessUpdatePutUser()","","Thu May 07 21:10:52 UTC 2026","failed","Thu May 07 21:10:53 UTC 2026","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
"","250","successGetUser(String) [1] 1","","Thu May 07 21:10:54 UTC 2026","failed","Thu May 07 21:10:54 UTC 2026","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
"","249","successRegisterUser()","","Thu May 07 21:10:54 UTC 2026","failed","Thu May 07 21:10:54 UTC 2026","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
"","301","unSuccessDeleteUser(String) [1] asdasd","","Thu May 07 21:10:54 UTC 2026","failed","Thu May 07 21:10:54 UTC 2026","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
"","2432","unSuccessGetUser(String) [1] 13","","Thu May 07 21:10:49 UTC 2026","failed","Thu May 07 21:10:52 UTC 2026","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
"","316","successDeleteUser(String) [1] 2","","Thu May 07 21:10:52 UTC 2026","failed","Thu May 07 21:10:52 UTC 2026","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
