"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","738","successGetUser(String) [1] 1","","Wed Jul 02 20:27:34 GMT 2025","passed","Wed Jul 02 20:27:34 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
"","352","unSuccessDeleteUser(String) [1] asdasd","","Wed Jul 02 20:27:34 GMT 2025","failed","Wed Jul 02 20:27:35 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
"","373","successRegisterUser()","","Wed Jul 02 20:27:35 GMT 2025","failed","Wed Jul 02 20:27:35 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
"","1226","unSuccessUpdatePutUser()","","Wed Jul 02 20:27:32 GMT 2025","failed","Wed Jul 02 20:27:33 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
"","2642","unSuccessGetUser(String) [1] 13","","Wed Jul 02 20:27:28 GMT 2025","failed","Wed Jul 02 20:27:31 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
"","382","unSuccessRegisterUser()","","Wed Jul 02 20:27:33 GMT 2025","failed","Wed Jul 02 20:27:34 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
"","367","successDeleteUser(String) [1] 2","","Wed Jul 02 20:27:31 GMT 2025","failed","Wed Jul 02 20:27:32 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
"","359","successUpdatePutUser()","","Wed Jul 02 20:27:33 GMT 2025","failed","Wed Jul 02 20:27:33 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
