"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","341","unSuccessDeleteUser(String) [1] asdasd","","Sat Jun 14 20:26:09 GMT 2025","failed","Sat Jun 14 20:26:10 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
"","364","successUpdatePutUser()","","Sat Jun 14 20:26:08 GMT 2025","failed","Sat Jun 14 20:26:09 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
"","1420","unSuccessUpdatePutUser()","","Sat Jun 14 20:26:07 GMT 2025","failed","Sat Jun 14 20:26:08 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
"","2622","unSuccessGetUser(String) [1] 13","","Sat Jun 14 20:26:04 GMT 2025","failed","Sat Jun 14 20:26:06 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
"","370","unSuccessRegisterUser()","","Sat Jun 14 20:26:09 GMT 2025","failed","Sat Jun 14 20:26:09 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
"","345","successGetUser(String) [1] 1","","Sat Jun 14 20:26:09 GMT 2025","failed","Sat Jun 14 20:26:09 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
"","350","successDeleteUser(String) [1] 2","","Sat Jun 14 20:26:06 GMT 2025","failed","Sat Jun 14 20:26:07 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
"","357","successRegisterUser()","","Sat Jun 14 20:26:10 GMT 2025","failed","Sat Jun 14 20:26:10 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
