"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","130","successGetUser(String) [1] 1","","2026-06-03","failed","2026-06-03","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
"","1192","unSuccessUpdatePutUser()","","2026-06-03","failed","2026-06-03","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
"","2378","unSuccessGetUser(String) [1] 13","","2026-06-03","failed","2026-06-03","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
"","140","successUpdatePutUser()","","2026-06-03","failed","2026-06-03","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
"","197","unSuccessDeleteUser(String) [1] asdasd","","2026-06-03","failed","2026-06-03","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
"","203","successRegisterUser()","","2026-06-03","failed","2026-06-03","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
"","211","successDeleteUser(String) [1] 2","","2026-06-03","failed","2026-06-03","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
"","220","unSuccessRegisterUser()","","2026-06-03","failed","2026-06-03","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
