"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","331","successRegisterUser()","","Wed Sep 03 20:26:53 UTC 2025","failed","Wed Sep 03 20:26:54 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
"","393","successGetUser(String) [1] 1","","Wed Sep 03 20:26:53 UTC 2025","failed","Wed Sep 03 20:26:53 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
"","304","unSuccessRegisterUser()","","Wed Sep 03 20:26:52 UTC 2025","failed","Wed Sep 03 20:26:53 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
"","2653","unSuccessGetUser(String) [1] 13","","Wed Sep 03 20:26:47 UTC 2025","failed","Wed Sep 03 20:26:50 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
"","492","successDeleteUser(String) [1] 2","","Wed Sep 03 20:26:50 UTC 2025","failed","Wed Sep 03 20:26:51 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
"","291","unSuccessDeleteUser(String) [1] asdasd","","Wed Sep 03 20:26:53 UTC 2025","failed","Wed Sep 03 20:26:53 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
"","1400","unSuccessUpdatePutUser()","","Wed Sep 03 20:26:51 UTC 2025","failed","Wed Sep 03 20:26:52 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
"","306","successUpdatePutUser()","","Wed Sep 03 20:26:52 UTC 2025","failed","Wed Sep 03 20:26:52 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
