"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","384","successGetUser(String) [1] 1","","Mon Apr 13 21:03:48 UTC 2026","failed","Mon Apr 13 21:03:48 UTC 2026","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
"","404","successDeleteUser(String) [1] 2","","Mon Apr 13 21:03:45 UTC 2026","failed","Mon Apr 13 21:03:46 UTC 2026","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
"","408","unSuccessDeleteUser(String) [1] asdasd","","Mon Apr 13 21:03:48 UTC 2026","failed","Mon Apr 13 21:03:49 UTC 2026","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
"","2874","unSuccessGetUser(String) [1] 13","","Mon Apr 13 21:03:42 UTC 2026","failed","Mon Apr 13 21:03:45 UTC 2026","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
"","249","successUpdatePutUser()","","Mon Apr 13 21:03:47 UTC 2026","failed","Mon Apr 13 21:03:48 UTC 2026","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
"","238","successRegisterUser()","","Mon Apr 13 21:03:49 UTC 2026","failed","Mon Apr 13 21:03:49 UTC 2026","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
"","1672","unSuccessUpdatePutUser()","","Mon Apr 13 21:03:46 UTC 2026","failed","Mon Apr 13 21:03:47 UTC 2026","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
"","413","unSuccessRegisterUser()","","Mon Apr 13 21:03:48 UTC 2026","failed","Mon Apr 13 21:03:48 UTC 2026","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
