"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","144","successRegisterUser()","","2026-07-14","failed","2026-07-14","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
"","168","unSuccessRegisterUser()","","2026-07-14","failed","2026-07-14","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
"","144","successDeleteUser(String) [1] 2","","2026-07-14","failed","2026-07-14","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
"","2440","unSuccessGetUser(String) [1] 13","","2026-07-14","failed","2026-07-14","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
"","133","unSuccessDeleteUser(String) [1] asdasd","","2026-07-14","failed","2026-07-14","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
"","244","successGetUser(String) [1] 1","","2026-07-14","failed","2026-07-14","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
"","151","successUpdatePutUser()","","2026-07-14","failed","2026-07-14","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
"","1464","unSuccessUpdatePutUser()","","2026-07-14","failed","2026-07-14","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
