"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1402","unSuccessUpdatePutUser()","","Sat Oct 25 20:26:31 UTC 2025","failed","Sat Oct 25 20:26:32 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
"","2768","unSuccessGetUser(String) [1] 13","","Sat Oct 25 20:26:28 UTC 2025","failed","Sat Oct 25 20:26:30 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
"","254","successUpdatePutUser()","","Sat Oct 25 20:26:32 UTC 2025","failed","Sat Oct 25 20:26:33 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
"","386","unSuccessDeleteUser(String) [1] asdasd","","Sat Oct 25 20:26:33 UTC 2025","failed","Sat Oct 25 20:26:34 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
"","405","successRegisterUser()","","Sat Oct 25 20:26:34 UTC 2025","failed","Sat Oct 25 20:26:34 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
"","406","unSuccessRegisterUser()","","Sat Oct 25 20:26:33 UTC 2025","failed","Sat Oct 25 20:26:33 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
"","396","successGetUser(String) [1] 1","","Sat Oct 25 20:26:33 UTC 2025","failed","Sat Oct 25 20:26:33 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
"","410","successDeleteUser(String) [1] 2","","Sat Oct 25 20:26:31 UTC 2025","failed","Sat Oct 25 20:26:31 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
