"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","175","successRegisterUser()","","Sat Aug 23 20:25:38 UTC 2025","failed","Sat Aug 23 20:25:39 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
"","256","unSuccessRegisterUser()","","Sat Aug 23 20:25:37 UTC 2025","failed","Sat Aug 23 20:25:38 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
"","159","unSuccessDeleteUser(String) [1] asdasd","","Sat Aug 23 20:25:38 UTC 2025","failed","Sat Aug 23 20:25:38 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
"","2584","unSuccessGetUser(String) [1] 13","","Sat Aug 23 20:25:33 UTC 2025","failed","Sat Aug 23 20:25:36 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
"","1266","unSuccessUpdatePutUser()","","Sat Aug 23 20:25:36 UTC 2025","failed","Sat Aug 23 20:25:37 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
"","178","successDeleteUser(String) [1] 2","","Sat Aug 23 20:25:36 UTC 2025","failed","Sat Aug 23 20:25:36 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
"","775","successGetUser(String) [1] 1","","Sat Aug 23 20:25:38 UTC 2025","passed","Sat Aug 23 20:25:38 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
"","171","successUpdatePutUser()","","Sat Aug 23 20:25:37 UTC 2025","failed","Sat Aug 23 20:25:37 UTC 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
