"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","222","unSuccessRegisterUser()","","Sat Jan 25 20:21:21 GMT 2025","passed","Sat Jan 25 20:21:22 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessRegisterUser"
"","123","successGetUser(String) [1] 1","","Sat Jan 25 20:21:22 GMT 2025","passed","Sat Jan 25 20:21:22 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successGetUser"
"","210","unSuccessDeleteUser(String) [1] asdasd","","Sat Jan 25 20:21:22 GMT 2025","failed","Sat Jan 25 20:21:22 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessDeleteUser"
"","252","successUpdatePutUser()","","Sat Jan 25 20:21:21 GMT 2025","passed","Sat Jan 25 20:21:21 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successUpdatePutUser"
"","1383","unSuccessUpdatePutUser()","","Sat Jan 25 20:21:20 GMT 2025","failed","Sat Jan 25 20:21:21 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessUpdatePutUser"
"","423","successRegisterUser()","","Sat Jan 25 20:21:22 GMT 2025","passed","Sat Jan 25 20:21:22 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successRegisterUser"
"","2877","unSuccessGetUser(String) [1] 13","","Sat Jan 25 20:21:16 GMT 2025","passed","Sat Jan 25 20:21:19 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","unSuccessGetUser"
"","347","successDeleteUser(String) [1] 2","","Sat Jan 25 20:21:19 GMT 2025","passed","Sat Jan 25 20:21:20 GMT 2025","","ServiceTest.RestTest","ServiceTest.RestTest","successDeleteUser"
